id,size,E,avgD,approx.Treewidth,Nodeconnective,diameter,cluster,max_matching,mvc,maxcut,degree_assort,attr_assort
77,10,10,2.0,2,1,6,0.2333333333333333,4,6,9,-0.8085106382978715,-3.4694469519536136e-17
78,10,13,2.6,3,1,7,0.3166666666666666,4,7,11,0.535714285714285,-0.1223021582733813
79,10,10,2.0,2,1,7,0.0,4,8,9,-0.1111111111111122,-0.1627906976744186
80,10,10,2.0,2,1,8,0.2333333333333333,3,6,9,-0.0526315789473716,-0.1560693641618497
81,10,9,1.8,1,1,8,0.0,4,6,8,-0.3333333333333347,-0.2180451127819548
82,10,10,2.0,2,1,8,0.0,4,7,10,-0.3888888888888899,-0.1976047904191615
83,10,12,2.4,2,1,5,0.1666666666666666,5,7,11,0.086956521739127,-0.0775510204081633
84,10,11,2.2,2,1,5,0.15,4,6,10,-0.2571428571428588,-0.1980198019801981
85,10,9,1.8,1,1,8,0.0,3,6,8,-0.6666666666666665,-0.1739130434782608
86,10,13,2.6,2,1,5,0.22,4,7,12,-0.1875000000000001,-0.1943462897526502
87,10,14,2.8,3,1,3,0.37,3,5,11,-0.435897435897435,-0.1736526946107784
88,10,9,1.8,1,1,9,0.0,4,7,7,-0.1249999999999977,-0.1824817518248175
89,10,9,1.8,1,1,7,0.0,3,6,8,-0.4651162790697679,0.0
90,10,9,1.8,1,1,8,0.0,4,6,8,-0.3333333333333347,-0.1739130434782608
91,10,11,2.2,2,1,6,0.3166666666666666,3,5,9,-0.4666666666666675,-0.1167512690355329
92,10,9,1.8,1,1,9,0.0,4,8,7,-0.1249999999999977,-0.1489361702127659
93,10,10,2.0,2,1,5,0.0766666666666666,4,5,9,-0.2962962962962967,-0.2195121951219512
94,10,13,2.6,3,1,6,0.2166666666666666,4,6,11,0.3953488372093012,-0.1575342465753424
95,10,9,1.8,1,1,8,0.0,4,7,8,-0.3333333333333347,-0.1654676258992805
96,10,9,1.8,1,1,8,0.0,5,8,8,-0.3333333333333347,-0.0434782608695652
97,10,10,2.0,2,2,5,0.0,4,7,10,,-0.0714285714285714
98,10,9,1.8,1,1,6,0.0,3,5,8,-0.5299999999999999,-0.2272727272727273
99,10,10,2.0,2,1,8,0.2333333333333333,4,7,9,-0.0526315789473716,-0.1834319526627219
100,10,10,2.0,2,1,7,0.0,5,9,9,-0.1764705882352955,0.0303030303030302
101,10,10,2.0,2,1,7,0.0,4,6,10,-0.1764705882352955,-0.0650887573964497
102,10,12,2.4,3,1,6,0.1333333333333333,4,7,11,0.1608391608391602,-0.1612903225806452
103,10,13,2.6,3,1,4,0.2933333333333333,3,6,11,-0.2037037037037037,-0.1818181818181818
104,10,11,2.2,2,1,5,0.2166666666666666,5,8,10,-0.1458333333333337,-0.073170731707317
105,10,13,2.6,3,1,5,0.12,4,6,12,-0.0699588477366259,-0.0985915492957747
106,10,12,2.4,2,1,5,0.0,5,9,11,-0.0434782608695684,-0.0731707317073171
107,10,10,2.0,2,1,7,0.0,4,7,10,-0.3888888888888899,-0.0778443113772455
108,10,14,2.8,3,1,4,0.48,4,7,11,-0.0393013100436668,-0.1097560975609756
109,10,10,2.0,2,1,7,0.0,5,7,9,0.1666666666666653,-0.0126582278481012
110,10,11,2.2,2,1,6,0.1666666666666666,5,8,10,-0.0576923076923089,-0.0891089108910891
111,10,13,2.6,3,1,6,0.2166666666666666,4,7,11,0.1999999999999994,-0.1215686274509804
112,10,10,2.0,2,1,7,0.2333333333333333,4,6,8,-0.6666666666666623,-0.1111111111111111
113,10,10,2.0,2,1,7,0.1666666666666666,3,5,9,-0.3725490196078475,-0.2195121951219513
114,10,10,2.0,2,1,7,0.15,4,8,9,-0.1702127659574474,-0.1363636363636363
115,10,13,2.6,2,1,4,0.36,4,6,11,-0.2972399150743103,-0.1908396946564886
116,10,10,2.0,2,1,6,0.15,4,7,9,-0.4285714285714291,-0.1904761904761905
117,10,9,1.8,1,1,8,0.0,4,7,7,-0.6666666666666665,-0.1911764705882352
118,10,9,1.8,1,1,7,0.0,4,4,9,-0.4651162790697679,-0.1900826446280991
119,10,12,2.4,2,1,5,0.1666666666666666,4,7,10,-0.27659574468085,-0.0775510204081633
120,10,9,1.8,1,1,8,0.0,4,7,7,-0.6666666666666665,-0.1911764705882352
121,10,11,2.2,2,1,7,0.2333333333333333,5,7,10,0.1979166666666666,-0.0999999999999999
122,10,15,3.0,3,1,5,0.4433333333333332,4,7,12,-0.2996389891696749,-0.1170212765957446
123,10,10,2.0,2,1,5,0.1433333333333333,3,5,9,-0.5740740740740737,-0.25
124,10,13,2.6,2,1,5,0.55,4,6,9,-0.2307692307692315,-0.0612244897959183
125,10,11,2.2,2,1,7,0.0,5,8,11,0.1538461538461552,-0.2410256410256411
126,10,11,2.2,2,1,6,0.0,4,7,11,0.1538461538461552,-0.0421052631578947
127,10,9,1.8,1,1,9,0.0,4,5,9,-0.1249999999999977,-0.0510948905109489
128,10,9,1.8,1,1,8,0.0,4,6,9,-0.3333333333333347,-0.0588235294117647
129,10,9,1.8,1,1,7,0.0,5,7,8,-0.2272727272727273,-0.152
130,10,9,1.8,1,1,8,0.0,3,6,8,-0.3333333333333347,-0.1739130434782608
131,10,10,2.0,2,1,7,0.0,4,6,10,0.1666666666666653,0.0588235294117646
132,10,9,1.8,1,1,7,0.0,4,7,8,-0.636363636363637,-0.0510948905109489
133,10,9,1.8,1,1,8,0.0,4,7,9,-0.3333333333333347,0.0597014925373134
134,10,11,2.2,2,1,7,0.2333333333333333,4,7,9,-0.0312499999999992,-0.0784313725490195
135,10,9,1.8,1,1,7,0.0,4,8,9,-0.4318181818181821,-0.1824817518248175
136,10,10,2.0,2,1,6,0.2333333333333333,4,6,9,0.1666666666666653,-0.1976047904191617
137,10,9,1.8,1,1,9,0.0,5,6,8,-0.1249999999999977,-0.1999999999999999
138,10,13,2.6,3,1,6,0.0,5,8,13,0.4022988505747105,0.0579710144927536
139,10,11,2.2,2,1,7,0.3666666666666667,3,6,9,-0.0352941176470584,-0.0945273631840796
140,10,9,1.8,1,1,7,0.0,4,6,9,-0.636363636363637,-0.1571428571428571
141,10,13,2.6,2,1,5,0.3299999999999999,4,6,10,-0.0569105691056911,-0.2158273381294964
142,10,12,2.4,3,1,5,0.0,4,6,11,-0.3333333333333323,-0.0572687224669603
143,10,10,2.0,2,1,6,0.1433333333333333,2,4,8,-0.4218009478672972,-0.1464968152866242
144,10,15,3.0,3,1,4,0.35,4,7,12,0.0322580645161275,-0.3432835820895523
145,10,9,1.8,1,1,6,0.0,2,4,7,-0.4545454545454556,-0.0359712230215827
146,10,9,1.8,1,1,6,0.0,3,4,9,-0.6649999999999998,0.0
147,10,9,1.8,1,1,9,0.0,4,7,9,-0.1249999999999977,-0.099236641221374
148,10,9,1.8,1,1,8,0.0,4,6,7,-0.6666666666666665,-0.0588235294117647
149,10,13,2.6,2,1,4,0.3133333333333333,4,7,11,-0.3140794223826715,-0.1695501730103806
150,10,9,1.8,1,1,9,0.0,4,7,8,-0.1249999999999977,-0.2755905511811024
151,10,9,1.8,1,1,7,0.0,4,6,9,-0.636363636363637,0.1074380165289255
152,10,10,2.0,2,1,7,0.2166666666666666,5,9,8,-0.3580246913580259,-0.1695906432748538
153,10,9,1.8,1,1,6,0.0,4,7,8,-0.5454545454545465,-0.0746268656716417
154,10,11,2.2,2,1,7,0.25,4,7,10,-0.0312499999999992,-0.1634615384615384
155,10,9,1.8,1,1,8,0.0,4,7,9,-0.6666666666666665,-0.208955223880597
156,10,13,2.6,2,2,4,0.2199999999999999,4,7,11,-0.2560386473429961,-0.025089605734767
157,10,9,1.8,1,1,8,0.0,5,7,8,-0.3333333333333347,-0.0588235294117647
158,10,13,2.6,2,1,5,0.2033333333333333,4,7,12,-0.1769547325102884,-0.1
159,10,11,2.2,2,1,6,0.15,3,5,9,-0.3750000000000002,-0.0526315789473684
160,10,11,2.2,2,1,6,0.3166666666666667,3,6,9,-0.2571428571428588,-0.1764705882352942
161,10,10,2.0,2,1,7,0.2333333333333333,4,7,8,-0.6666666666666623,-0.2195121951219512
162,10,9,1.8,1,1,9,0.0,5,7,8,-0.1249999999999977,-0.1654676258992805
163,10,12,2.4,2,1,7,0.4333333333333334,5,8,9,-0.27659574468085,-0.0775510204081633
164,10,10,2.0,2,1,5,0.0,4,5,9,-0.1111111111111122,-0.1764705882352941
165,10,11,2.2,2,1,7,0.1,4,6,10,0.3653846153846186,-0.1921182266009852
166,10,12,2.4,3,1,7,0.1666666666666666,4,7,10,0.347826086956521,-0.1139240506329113
167,10,10,2.0,2,1,6,0.2166666666666667,4,7,9,-0.1702127659574478,-0.2
168,10,9,1.8,1,1,9,0.0,4,8,8,-0.1249999999999977,-0.1824817518248175
169,10,10,2.0,2,1,8,0.1666666666666666,4,6,9,0.1666666666666653,-0.2048192771084337
170,10,10,2.0,2,1,8,0.1666666666666666,4,7,8,0.1666666666666653,-0.1538461538461537
171,10,13,2.6,3,1,4,0.2166666666666667,4,6,12,-0.3100775193798466,-0.0214285714285714
172,10,10,2.0,2,1,7,0.2333333333333333,4,6,9,-0.3888888888888899,-0.2765957446808511
173,10,11,2.2,2,1,8,0.2666666666666666,4,6,9,0.4358974358974363,-0.0050761421319796
174,10,18,3.6,3,1,3,0.5947619047619048,4,7,13,-0.2244897959183681,-0.1229357798165137
175,10,10,2.0,2,1,7,0.15,3,6,9,-0.1702127659574474,-0.1464968152866242
176,10,15,3.0,3,1,5,0.5,5,8,13,-0.161290322580645,-0.0626702997275203
177,10,11,2.2,2,1,7,0.2,4,7,10,0.3015873015873028,-0.134020618556701
178,10,9,1.8,1,1,8,0.0,4,7,9,-0.3333333333333347,-0.1408450704225352
179,10,9,1.8,1,1,8,0.0,4,5,8,-0.6666666666666665,0.0802919708029197
180,10,10,2.0,2,1,6,0.0,4,7,10,-0.1764705882352955,-0.1834319526627219
181,10,9,1.8,1,1,7,0.0,3,5,9,-0.2272727272727273,-0.1076923076923076
182,10,11,2.2,2,1,3,0.1380952380952381,3,5,10,-0.6366237482117312,-0.2359550561797753
183,10,9,1.8,1,1,8,0.0,3,5,8,-0.6666666666666665,-0.208955223880597
184,10,10,2.0,2,1,8,0.1666666666666666,4,7,8,0.1666666666666653,-0.1464968152866241
185,10,9,1.8,1,1,8,0.0,4,6,9,-0.3333333333333347,0.0078740157480315
186,10,9,1.8,1,1,7,0.0,3,6,8,-0.6744186046511633,0.0307692307692307
187,10,14,2.8,2,1,4,0.4533333333333334,4,7,11,-0.1004366812227101,0.0059171597633136
188,10,9,1.8,1,1,5,0.0,3,4,9,-0.6521739130434782,-0.2461538461538461
189,10,9,1.8,1,1,8,0.0,3,6,7,-0.3333333333333347,-0.1408450704225352
190,10,12,2.4,2,1,4,0.1666666666666666,4,8,11,-0.27659574468085,-0.064516129032258
191,10,9,1.8,1,1,9,0.0,4,7,8,-0.1249999999999977,-0.1824817518248175
192,10,10,2.0,2,1,6,0.0,4,7,10,-0.1111111111111122,-0.2345679012345679
193,10,10,2.0,2,1,7,0.0,5,8,10,0.1666666666666653,-0.1627906976744186
194,10,10,2.0,2,1,7,0.1,4,7,9,0.019607843137254,-0.1320754716981131
195,10,9,1.8,1,1,6,0.0,3,5,9,-0.4545454545454556,-0.1911764705882352
196,10,17,3.4,3,1,3,0.6619047619047619,4,7,12,-0.4639940608760221,-0.0736842105263157
197,10,9,1.8,1,1,9,0.0,4,8,8,-0.1249999999999977,-0.1571428571428571
198,10,10,2.0,2,1,7,0.2166666666666667,3,5,8,-0.3580246913580259,-0.1627906976744186
199,10,10,2.0,2,1,6,0.0,4,5,9,-0.7647058823529396,-0.0975609756097561
200,10,10,2.0,2,1,5,0.2333333333333333,3,5,9,-0.6587677725118487,-0.0596026490066224
201,10,9,1.8,1,1,8,0.0,4,6,8,-0.3333333333333347,-0.0510948905109488
202,10,12,2.4,3,1,5,0.1666666666666666,3,5,10,-0.6666666666666665,-0.0954356846473029
203,10,9,1.8,1,1,9,0.0,4,7,9,-0.1249999999999977,-0.0359712230215827
204,10,11,2.2,2,1,7,0.1666666666666666,4,6,10,-0.269230769230769,-0.2021857923497267
205,10,13,2.6,3,1,5,0.0,4,7,13,0.0930232558139532,-0.054054054054054
206,10,10,2.0,2,1,7,0.1666666666666666,4,7,9,-0.3725490196078475,-0.1627906976744186
207,10,11,2.2,2,1,5,0.1333333333333333,4,7,10,0.1200000000000007,-0.1578947368421052
208,10,9,1.8,1,1,8,0.0,4,6,9,-0.3333333333333347,-0.1408450704225352
209,10,9,1.8,1,1,8,0.0,5,8,7,-0.3333333333333347,-0.2272727272727272
210,10,13,2.6,3,1,4,0.2266666666666666,3,6,11,-0.2566666666666675,-0.1103202846975088
211,10,14,2.8,2,1,4,0.2799999999999999,4,7,12,-0.3333333333333341,-0.12
212,10,9,1.8,1,1,9,0.0,4,7,7,-0.1249999999999977,-0.1489361702127659
213,10,9,1.8,1,1,8,0.0,4,7,8,-0.3333333333333347,-0.2203389830508474
214,10,11,2.2,2,1,5,0.0,4,7,10,-0.3749999999999998,-0.1578947368421052
215,10,10,2.0,2,1,6,0.0,4,7,9,-0.1111111111111122,-0.1764705882352941
216,10,9,1.8,1,1,6,0.0,5,8,9,-0.2558139534883724,-0.1654676258992805
217,10,10,2.0,2,1,6,0.0,4,6,10,0.0196078431372542,-0.1904761904761905
218,10,9,1.8,1,1,7,0.0,3,6,8,-0.636363636363637,-0.1739130434782608
219,10,9,1.8,1,1,9,0.0,5,7,9,-0.1249999999999977,0.0802919708029197
220,10,11,2.2,2,1,5,0.15,3,5,10,-0.3619047619047627,-0.1690821256038647
221,10,11,2.2,2,1,4,0.1966666666666666,4,7,9,-0.4752186588921288,-0.134020618556701
222,10,10,2.0,2,1,7,0.0,5,6,9,0.1666666666666653,-0.1392405063291139
223,10,9,1.8,1,1,9,0.0,4,6,7,-0.1249999999999977,0.0666666666666666
224,10,11,2.2,2,1,6,0.2333333333333333,4,7,10,-0.4807692307692313,-0.2604166666666667
225,10,10,2.0,2,1,6,0.0,4,5,8,-0.489361702127661,-0.0843373493975904
226,10,12,2.4,2,1,5,0.2766666666666666,4,7,10,-0.3333333333333324,-0.0909090909090909
227,10,9,1.8,1,1,9,0.0,5,8,9,-0.1249999999999977,-0.0827067669172932
228,10,11,2.2,2,1,6,0.15,4,6,10,-0.0352941176470584,-0.073170731707317
229,10,9,1.8,1,1,9,0.0,4,7,9,-0.1249999999999977,-0.0359712230215827
230,10,10,2.0,2,1,8,0.1666666666666666,4,6,9,-0.1111111111111122,-0.0389610389610389
231,10,9,1.8,1,1,9,0.0,4,7,8,-0.1249999999999977,-0.1328671328671328
232,10,9,1.8,1,1,7,0.0,4,7,8,-0.4318181818181821,0.0
233,10,11,2.2,2,1,7,0.25,4,6,10,-0.0312499999999992,-0.0945273631840795
234,10,11,2.2,2,1,6,0.1,5,8,10,-0.0576923076923089,-0.0679611650485436
235,10,11,2.2,2,1,6,0.1,5,7,10,0.1538461538461559,0.0056497175141242
236,10,13,2.6,3,1,4,0.2033333333333333,4,7,11,-0.0378151260504204,-0.2380952380952381
237,10,13,2.6,3,1,5,0.3099999999999999,4,7,11,-0.2304526748971195,-0.0684931506849315
238,10,12,2.4,3,1,4,0.0,5,7,12,-0.1162790697674406,-0.1092436974789916
239,10,9,1.8,1,1,7,0.0,4,7,9,-0.2272727272727273,-0.0746268656716417
240,10,11,2.2,2,1,7,0.3666666666666666,4,7,9,-0.0352941176470584,0.0246305418719211
241,10,12,2.4,2,1,6,0.4666666666666667,4,7,10,-0.3043478260869566,-0.1707317073170732
242,10,9,1.8,1,1,8,0.0,3,6,9,-0.6666666666666665,-0.1739130434782608
243,10,18,3.6,4,1,4,0.5066666666666667,4,7,13,-0.1400730816077948,-0.1439252336448598
244,10,11,2.2,2,1,5,0.15,3,6,10,-0.4895833333333356,-0.1111111111111111
245,10,12,2.4,2,1,5,0.45,4,7,9,-0.628571428571428,-0.1092436974789916
246,10,9,1.8,1,1,7,0.0,4,7,9,-0.4318181818181819,-0.0434782608695652
247,10,10,2.0,2,1,8,0.1666666666666666,4,7,9,-0.1111111111111122,0.036144578313253
248,10,9,1.8,1,1,8,0.0,5,8,8,-0.3333333333333347,-0.1571428571428571
249,10,15,3.0,3,1,5,0.4333333333333333,3,5,12,0.0199637023593462,-0.1538461538461538
250,10,9,1.8,1,1,8,0.0,4,6,9,-0.3333333333333347,-0.2461538461538461
251,10,11,2.2,2,1,5,0.1666666666666666,4,7,9,-0.0576923076923089,-0.1690821256038647
252,10,13,2.6,2,1,6,0.4666666666666666,4,7,11,0.0769230769230763,-0.0631970260223048
253,10,9,1.8,1,1,8,0.0,4,6,9,-0.3333333333333347,-0.1076923076923076
254,10,10,2.0,2,1,7,0.1,5,7,8,0.215686274509803,-0.1976047904191617
255,10,9,1.8,1,1,9,0.0,5,7,9,-0.1249999999999977,-0.008
256,10,12,2.4,2,1,6,0.2333333333333333,4,6,9,-0.0434782608695684,-0.1383399209486166
257,10,10,2.0,2,1,8,0.2333333333333333,5,7,9,-0.0526315789473716,-0.2738853503184711
258,10,12,2.4,2,1,5,0.0833333333333333,4,6,11,-0.0909090909090901,-0.1851851851851852
259,10,10,2.0,2,1,8,0.1666666666666666,4,8,9,0.1666666666666653,-0.1249999999999999
260,10,9,1.8,1,1,8,0.0,4,7,9,-0.3333333333333347,-0.0434782608695652
261,10,9,1.8,1,1,8,0.0,4,7,9,-0.6666666666666665,-0.265625
262,10,11,2.2,2,1,7,0.2333333333333333,4,5,10,0.0833333333333331,0.0050251256281406
263,10,11,2.2,2,1,6,0.0,4,7,10,-0.3749999999999994,-0.1282051282051283
264,10,19,3.8,4,1,5,0.44,4,6,15,0.4062499999999984,-0.1067961165048543
265,10,11,2.2,2,1,7,0.1,4,6,10,0.1538461538461559,-0.1123595505617977
266,10,11,2.2,2,1,6,0.2533333333333333,3,4,9,-0.3968253968253972,-0.1827956989247311
267,10,13,2.6,2,1,4,0.1266666666666666,3,5,11,-0.2105263157894744,-0.0721649484536082
268,10,11,2.2,2,1,6,0.0,4,7,10,-0.4807692307692313,-0.198019801980198
269,10,10,2.0,2,1,7,0.0,4,6,9,0.1666666666666653,-0.2738853503184714
270,10,9,1.8,1,1,9,0.0,5,7,8,-0.1249999999999977,-0.0666666666666667
271,10,11,2.2,2,1,7,0.2666666666666666,3,5,9,-0.1956521739130433,-0.1690821256038647
272,10,10,2.0,2,1,8,0.1666666666666666,4,7,9,-0.1111111111111122,-0.0909090909090909
273,10,13,2.6,3,1,4,0.1166666666666666,4,6,12,-0.1105527638190938,-0.0985915492957747
274,10,10,2.0,2,1,7,0.0,4,6,9,-0.1111111111111122,0.0277777777777778
275,10,11,2.2,2,1,8,0.2666666666666666,5,7,9,0.4358974358974363,-0.2222222222222223
276,10,9,1.8,1,1,8,0.0,4,6,8,-0.6666666666666665,-0.1076923076923076
277,10,9,1.8,1,1,7,0.0,4,6,8,-0.8409090909090922,-0.1654676258992805
278,10,9,1.8,1,1,9,0.0,5,8,8,-0.1249999999999977,-0.0827067669172932
279,10,9,1.8,1,1,6,0.0,3,5,8,-0.5299999999999999,-0.1824817518248175
280,10,11,2.2,2,1,5,0.0,4,7,11,-0.1647058823529409,-0.2039800995024875
281,10,10,2.0,2,1,7,0.1,4,8,9,0.019607843137254,-0.1976047904191617
282,10,9,1.8,1,1,8,0.0,4,6,8,-0.3333333333333347,-0.208955223880597
283,10,10,2.0,2,1,5,0.2166666666666667,3,5,8,-0.805555555555556,-0.0714285714285714
284,10,10,2.0,2,1,6,0.2333333333333333,4,7,9,-0.5686274509803901,-0.125
285,10,9,1.8,1,1,8,0.0,4,6,9,-0.3333333333333347,0.0381679389312977
286,10,13,2.6,2,1,5,0.39,5,8,11,-0.0699588477366259,-0.1859649122807017
287,10,12,2.4,2,1,5,0.1333333333333333,4,7,11,0.2285714285714283,-0.1851851851851851
288,10,10,2.0,2,1,6,0.0,4,7,10,-0.3888888888888899,-0.1834319526627219
289,10,9,1.8,1,1,9,0.0,4,7,9,-0.1249999999999977,-0.1654676258992805
290,10,10,2.0,2,1,5,0.1266666666666666,3,4,9,-0.4859437751004021,-0.1695906432748538
291,10,9,1.8,1,1,9,0.0,4,6,8,-0.1249999999999977,-0.1654676258992805
292,10,9,1.8,1,1,9,0.0,4,6,9,-0.1249999999999977,-0.1489361702127659
293,10,17,3.4,3,1,3,0.4999999999999999,4,6,12,-0.0355329949238579,-0.1653225806451612
294,10,11,2.2,2,1,7,0.1666666666666666,4,7,9,0.057142857142857,-0.1921182266009852
